Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0201_0603Metric",73.030000,-27.170000,90.000000,bottom
"C2","100nF","C_0201_0603Metric",73.100000,-38.230000,-90.000000,bottom
"C3","100nF","C_0201_0603Metric",70.230000,-27.165000,90.000000,bottom
"C4","100nF","C_0201_0603Metric",68.470000,-34.400000,180.000000,bottom
"C5","100nF","C_0201_0603Metric",77.780000,-30.480000,90.000000,bottom
"C6","100nF","C_0201_0603Metric",68.820000,-30.480000,90.000000,bottom
"C7","100nF","C_0201_0603Metric",77.800000,-34.745000,-90.000000,bottom
"C8","100nF","C_0201_0603Metric",70.230000,-28.570000,90.000000,bottom
"C9","100nF","C_0201_0603Metric",73.030762,-28.570000,90.000000,bottom
"C10","1uF","C_0201_0603Metric",69.530000,-28.570000,-90.000000,bottom
"C11","1uF","C_0201_0603Metric",70.930000,-27.165000,-90.000000,bottom
"C12","100nF","C_0201_0603Metric",70.930762,-28.570000,90.000000,bottom
"C13","100nF","C_0201_0603Metric",73.730000,-28.570000,90.000000,bottom
"C14","100nF","C_0201_0603Metric",72.400001,-38.230002,-90.000000,bottom
"C15","15pF","C_0201_0603Metric",78.000000,-36.500000,90.000000,bottom
"C16","15pF","C_0201_0603Metric",82.880000,-38.095000,-90.000000,bottom
"C17","22uF","C_0603_1608Metric",54.337501,-28.550004,90.000000,bottom
"C18","100nF","C_0201_0603Metric",52.400000,-29.445000,90.000000,bottom
"C19","100nF","C_0201_0603Metric",70.100000,-21.745000,-90.000000,bottom
"C20","22uF","C_0603_1608Metric",54.337504,-25.549999,-90.000000,bottom
"C21","22uF","C_0603_1608Metric",48.575001,-25.549999,90.000000,bottom
"C22","4.7uF","C_0402_1005Metric",86.000000,-36.720000,0.000000,bottom
"C23","1uF","C_0201_0603Metric",81.420000,-35.200000,0.000000,bottom
"C24","100nF","C_0201_0603Metric",82.820000,-35.200000,0.000000,bottom
"C25","1uF","C_0201_0603Metric",79.945000,-35.200000,0.000000,bottom
"C26","4.7uF","C_0402_1005Metric",86.000000,-35.800000,0.000000,bottom
"C27","22uF","C_0603_1608Metric",52.162500,-31.899999,0.000000,bottom
"C28","100nF","C_0201_0603Metric",50.262500,-31.899999,90.000000,bottom
"C29","22uF","C_0603_1608Metric",52.162499,-36.500000,0.000000,bottom
"C30","22uF","C_0603_1608Metric",52.162500,-38.000000,0.000000,bottom
"C31","22uF","C_0603_1608Metric",88.700000,-26.900000,-90.000000,bottom
"C32","100nF","C_0201_0603Metric",99.645000,-21.079999,-90.000000,bottom
"C33","22uF","C_0603_1608Metric",44.700000,-32.320000,180.000000,bottom
"C34","100nF","C_0201_0603Metric",47.930000,-31.940000,180.000000,bottom
"C35","22uF","C_0603_1608Metric",91.210000,-26.900000,-90.000000,bottom
"D1","BAT20JFILM","D_SOD-323",97.295001,-23.750000,-90.000000,bottom
"DS1","SH1107","OLED_SH1107_13P",80.300000,-28.500000,90.000000,bottom
"J1","UJ20-C-H-G-MSMT-6-P16-TR","SAMESKY_UJ20-C-H-G-MSMT-6-P16-TR",63.000000,-20.000000,0.000000,bottom
"J3","SWD","PinHeader_1x03_P2.54mm_Vertical",65.540000,-37.300000,90.000000,bottom
"L1","0.47uH","L_Murata_DFE201610P",49.737500,-34.200000,-90.000000,bottom
"L2","4.7uH","L_0603_1608Metric",93.720000,-26.900000,-90.000000,bottom
"Q1","DMG1013T-7","SOT-523",100.345000,-24.200000,-90.000000,bottom
"R1","1k","R_0201_0603Metric",73.800000,-38.230000,-90.000000,bottom
"R2","5.1k","R_0201_0603Metric",65.079999,-28.950000,-90.000000,bottom
"R3","5.1k","R_0201_0603Metric",60.929999,-28.940000,90.000000,bottom
"R4","27","R_0201_0603Metric",78.125000,-31.850000,180.000000,bottom
"R5","27","R_0201_0603Metric",78.125000,-32.550000,0.000000,bottom
"R6","27","R_0201_0603Metric",72.330761,-28.570002,90.000000,bottom
"R7","27","R_0201_0603Metric",71.630763,-28.570000,-90.000000,bottom
"R8","10k","R_0201_0603Metric",79.800000,-20.755000,-90.000000,bottom
"R9","1k","R_0201_0603Metric",79.100000,-20.755000,-90.000000,bottom
"R10","3.6k","R_0201_0603Metric",51.437500,-29.449999,90.000000,bottom
"R11","10k","R_0201_0603Metric",50.437502,-29.449999,-90.000000,bottom
"R12","620k","R_0201_0603Metric",78.300000,-24.500000,-90.000000,bottom
"R13","10k","R_0201_0603Metric",78.300000,-26.055000,-90.000000,bottom
"R14","140k","R_0402_1005Metric",99.500000,-27.200000,-90.000000,bottom
"R15","140k","R_0402_1005Metric",101.490000,-27.200000,-90.000000,bottom
"R16","10k","R_0201_0603Metric",57.755000,-34.100000,180.000000,bottom
"R17","3.6k","R_0201_0603Metric",57.755000,-32.350000,180.000000,bottom
"R19","10k","R_0201_0603Metric",101.394999,-21.080000,-90.000000,bottom
"SW3","CK_KMS2xxGP","SW_SPST_CK_KMS2xxGP",51.750001,-21.400000,0.000000,bottom
"U1","USBLC6-2SC6","SOT-23-6",63.000000,-30.000000,90.000000,bottom
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",73.300000,-33.400000,180.000000,bottom
"U3","W25Q128JVPIQ","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",73.800000,-23.315000,180.000000,bottom
"U4","BQ24074RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",51.437500,-26.350000,0.000000,bottom
"U5","VDD331MCTA","SOT-23-3",54.800000,-34.200000,0.000000,bottom
"U6","RT6160A","WL-CSP-15B_1.4x2.3_BSC",51.737501,-34.200000,180.000000,bottom
"U7","MT3608B","SOT-23-6",93.600000,-23.300000,-90.000000,bottom
"U8","MAX98357AEWL","WLP-9_3x3_1.437x1.347mm_W91F1+1",47.500000,-35.000000,180.000000,bottom
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",80.430000,-37.380000,180.000000,bottom
